,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETo,ETr_ASCE
7593,1999-10-16,1999,10,16,16.1684204102,-1.38413085937,190.834579468,3.81069394622,0.00215492071584,0.0,3.91746330261,6.12827641974
7594,1999-10-17,1999,10,17,11.6279846191,-8.16422119141,188.680511475,1.55753248979,0.00208862288855,0.0,2.22909474373,3.02171849055
7595,1999-10-18,1999,10,18,14.588067627,-6.71427001953,186.116455078,2.49628321819,0.00235691596754,0.0,2.87020778656,4.25996160317
7596,1999-10-19,1999,10,19,15.7077270508,-3.57391967773,186.402801514,2.01740667494,0.00241041951813,0.0,2.81032562256,4.11009745565
7597,1999-10-20,1999,10,20,18.2581726074,-1.72427978516,185.882171631,1.62290712835,0.0023165945895,0.0,2.8184762001,4.1354045775
7598,1999-10-21,1999,10,21,19.578515625,0.0062194824219,184.567611694,1.11446779488,0.00214406498708,0.0,2.50841808319,3.55519140274
7599,1999-10-22,1999,10,22,20.6186157227,0.856042480469,182.790985107,0.622836970881,0.00217197998427,0.0,2.05193924904,2.66023770835
7600,1999-10-23,1999,10,23,21.7181030273,2.2555480957,179.719329834,0.944622984902,0.00220532272942,0.0,2.40388512611,3.39758828361
7601,1999-10-24,1999,10,24,21.6076904297,2.69533691406,174.285354614,1.22430119285,0.00227394676767,0.0,2.64899158478,3.90339811727
7602,1999-10-25,1999,10,25,21.3286682129,2.83620605469,176.361328125,0.810160883113,0.0022049350664,0.0,2.19413137436,3.02942943575
7603,1999-10-26,1999,10,26,22.1883178711,2.81560668945,174.233291626,0.864890117487,0.00234140781686,0.0,2.2573287487,3.17304240998
7604,1999-10-27,1999,10,27,16.8879638672,2.60601196289,151.703460693,1.55117518812,0.00334944552742,0.0,2.40575766563,3.42558595535
7605,1999-10-28,1999,10,28,19.5488220215,-0.333929443359,167.771102905,1.40597102976,0.00327267940156,0.0,2.47247266769,3.56320713556
7606,1999-10-29,1999,10,29,12.8877807617,-2.25455322266,164.855621338,4.57153759351,0.00308154011145,0.0,3.02726483345,4.65525936062
7607,1999-10-30,1999,10,30,12.6787963867,-7.61447753906,167.699508667,1.71942166725,0.00232783798128,0.0,2.10101675987,3.01088852989
7608,1999-10-31,1999,10,31,17.4994445801,-2.0930847168,164.523727417,1.02828810643,0.00237823999487,0.0,2.04135847092,2.87023147608
