,Date,Year,Month,Day,Tmax_C,Tmin_C,Srad,Ws_2m,q,Prcp,ETr
110,1979-04-21,1979,4,21,22.210290527343773,-0.48773803710935226,294.1986999511719,1.8076371188376676,0.0028749466873705387,0.0,6.4286417961120605
111,1979-04-22,1979,4,22,23.009698486328148,3.2127014160156477,286.6727294921875,1.7445154437931019,0.004031293094158173,0.0,6.258718967437744
112,1979-04-23,1979,4,23,23.319818115234398,4.722497558593773,286.1594543457031,2.2583696290174955,0.003849293803796172,0.0,7.142861366271973
113,1979-04-24,1979,4,24,22.719354248046898,4.071954345703148,292.91217041015625,2.540502575711156,0.0034801631700247526,0.0,7.504494667053223
114,1979-04-25,1979,4,25,18.669244384765648,2.9020019531250227,280.3999938964844,3.0705681476858766,0.003724144771695137,0.0,6.661131381988525
115,1979-04-26,1979,4,26,18.669244384765648,2.3728576660156477,217.08592224121094,2.5146528776553656,0.0037209864240139723,0.0,5.754340171813965
116,1979-04-27,1979,4,27,21.270043945312523,4.743127441406273,252.66259765625,1.9053797849902885,0.004462011624127626,0.0,5.831839561462402
117,1979-04-28,1979,4,28,21.629602050781273,2.8619628906250227,296.4918212890625,2.3937567939875493,0.004218819551169872,0.0,6.736568450927734
118,1979-04-29,1979,4,29,21.769219970703148,6.062371826171898,248.06968688964844,1.4860717825395369,0.0037434895057231188,0.0,5.646513938903809
119,1979-04-30,1979,4,30,20.491662597656273,5.251641845703148,267.1545715332031,1.3074245617174207,0.0038631116040050983,0.0,5.290248394012451
120,1979-05-01,1979,5,1,20.202539062500023,3.7819152832031477,299.2248840332031,2.2601924715893182,0.0037663874682039022,0.2846487760543823,6.539066791534424
121,1979-05-02,1979,5,2,16.502099609375023,4.311059570312523,254.92237854003906,1.7434214172642295,0.0034596340265125036,0.2618770897388458,5.136158466339111
122,1979-05-03,1979,5,3,15.781762695312523,1.8218322753906477,261.44842529296875,1.7323030048683599,0.0039045647718012333,0.3244991898536682,4.712210178375244
123,1979-05-04,1979,5,4,19.872644042968773,-0.48895874023435226,320.9562072753906,1.58597468298242,0.0040687983855605125,0.0,5.587530136108398
124,1979-05-05,1979,5,5,23.041802978515648,4.860833740234398,317.809814453125,1.9051429688158237,0.003923119977116585,0.0,6.9336934089660645
125,1979-05-06,1979,5,6,22.992395019531273,5.261346435546898,320.64288330078125,3.767946843476139,0.0032878993079066277,0.0,9.374409675598145
126,1979-05-07,1979,5,7,20.481774902343773,3.2418151855468977,303.85113525390625,4.113564000818799,0.0033625150099396706,1.275216817855835,8.486797332763672
127,1979-05-08,1979,5,8,15.312249755859398,2.4917846679687727,139.49986267089844,3.584253458725618,0.004030108917504549,3.7687156200408936,5.045338153839111
128,1979-05-09,1979,5,9,11.052117919921898,0.36181030273439774,269.301025390625,2.5261509448971964,0.003527933033183217,4.15014123916626,4.380200386047363
129,1979-05-10,1979,5,10,12.061547851562523,-1.6589416503906023,262.0350646972656,2.427790737771554,0.0030687896069139242,0.0,4.559604167938232
130,1979-05-11,1979,5,11,15.332025146484398,-3.8289550781249773,316.8699035644531,2.487498907385692,0.0033542243763804436,0.0,5.336956024169922
131,1979-05-12,1979,5,12,17.122338867187523,-1.0387634277343523,329.9420166015625,2.3769899235147385,0.003394493367522955,0.0,5.985808372497559
132,1979-05-13,1979,5,13,21.321954345703148,2.0415283203125227,329.3354187011719,1.7033705950595754,0.003273686859756708,0.0,6.4992899894714355
